장기서비스여부,전체회차,현재회차,서비스시작시간,서비스종료시간,기존고객여부,결재형태,서비스주소,주거형태,평수,반려동물,부재중여부,우선청소,쿠폰사용여부,매니저생년월일,매니저성별,매니저사용휴대폰,매니저이동방법,근무가능지역,CS교육이수여부,청소교육이수여부,부재중서비스가능여부,추천인여부,결측치개수,n주소,n지역,가입월,가입시즌별구분,가입계절,가입일,가입일구분,가입연도,접수월,접수시즌별구분,접수계절,접수일자,접수일구분,접수연도,최초서비스월,최초서비스시즌별구분,최초서비스계절,최초서비스일자,최초서비스일구분,최초서비스연도,서비스월,서비스시즌별구분,서비스계절,서비스일,서비스일구분,서비스연도,매니저세대세분화,매니저세대연도세분화,회원기간(달),서비스이용시간,전체서비스이용시간,고객등급분류,서비스규모구분,장기노동여부,단기노동여부,휴면기간(일),다이렉트접수여부,대기기간(일),다이렉트서비스여부,준비기간(일),new다이렉트서비스여부,클리닉기간(일),매니저나이,서비스일자일치여부,즉흥서비스여부,타겟팅고객여부,서비스진행도,근무가능지역여부,서비스주소_근무가능지역,상대적거리,여부총합,주거형태_mean_enc,반려동물_mean_enc,매니저사용휴대폰_mean_enc,매니저이동방법_mean_enc,근무가능지역_mean_enc,서비스월_mean_enc,서비스계절_mean_enc,서비스일_mean_enc,서비스일구분_mean_enc,서비스연도_mean_enc,고객개인정보,매니저개인정보
1,8,2,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,40평대이상,개,0.0,주방,0,1961,0,안드로이드,대중교통,원주/춘천,0.0,0.0,1,0,1,6,3.0,3,시즌초,봄,25,말기,2020,11,시즌말,가을,26,말기,2020,11,시즌말,가을,30,말기,2020,12,휴식기,겨울,4,초기,2020,60년대,세대초기,8,4,32,Diamond,1,0,0,246,0,250,0,4,0,4,60,0,0,0,0.25,0,천안/아산_원주/춘천,1,4.0,0.09569996374048786,0.09253928658095997,0.09747954090494923,0.0998070657498033,0.08786445404261842,0.09942522638625333,0.09515821094313318,0.1006741264552895,0.09634353371195928,0.09666383592430217,신용카드_천안/아산_일반주택_40평대이상_개_Diamond,1961_안드로이드_대중교통_60년대_세대초기
1,4,1,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,40평대이상,개,0.0,주방,0,1961,0,안드로이드,대중교통,천안/아산,0.0,0.0,1,0,1,6,4.0,6,시즌초,여름,1,초기,2019,4,시즌초,봄,30,말기,2021,5,시즌초,봄,12,중기,2021,5,시즌초,봄,12,중기,2021,60년대,세대초기,23,4,16,Gold,1,0,0,699,0,711,0,12,0,0,60,1,0,0,0.25,1,천안/아산_천안/아산,1,5.0,0.09569996374048786,0.09253928658095997,0.09747954090494923,0.0998070657498033,0.09725282592110154,0.09670514332040854,0.09970934474115466,0.09941155749123341,0.09555883700129883,0.09630763345093962,신용카드_천안/아산_일반주택_40평대이상_개_Gold,1961_안드로이드_대중교통_60년대_세대초기
1,5,1,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,미응답,없음,0.5,미응답,1,1969,0,안드로이드,대중교통,기타,0.0,0.0,1,0,4,6,3.0,1,휴식기,겨울,2,초기,2020,12,휴식기,겨울,26,말기,2019,1,휴식기,겨울,2,초기,2020,1,휴식기,겨울,2,초기,2020,60년대,세대말기,0,4,20,Gold,1,0,0,-7,1,0,0,7,0,0,52,1,1,1,0.2,0,천안/아산_기타,2,8.5,0.09569996374048786,0.09618557315177127,0.09747954090494923,0.0998070657498033,0.0940264207558472,0.09314054518648374,0.09515821094313318,0.09826292993501028,0.09634353371195928,0.09666383592430217,신용카드_천안/아산_일반주택_미응답_없음_Gold,1969_안드로이드_대중교통_60년대_세대말기
1,4,3,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,40평대이상,없음,0.0,주방,0,1961,0,미응답,대중교통,부산,0.5,0.5,1,0,4,6,2.0,6,시즌초,여름,28,말기,2021,7,시즌초,여름,26,말기,2021,8,시즌초,여름,2,초기,2021,8,시즌초,여름,23,말기,2021,60년대,세대초기,2,4,16,Gold,1,0,0,28,0,35,0,7,0,21,60,0,0,0,0.75,0,천안/아산_부산,2,5.0,0.09569996374048786,0.09618557315177127,0.08297784880763621,0.0998070657498033,0.1012476013997158,0.09012129177309842,0.09352919023779387,0.09944301522662426,0.09496963130241444,0.09630763345093962,신용카드_천안/아산_일반주택_40평대이상_없음_Gold,1961_미응답_대중교통_60년대_세대초기
1,3,1,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,미응답,없음,0.5,미응답,0,1964,0,안드로이드,대중교통,천안/아산,0.0,0.0,1,0,4,5,4.0,7,시즌초,여름,8,초기,2019,9,시즌초,가을,2,초기,2019,9,시즌초,가을,9,초기,2019,9,시즌초,가을,9,초기,2019,60년대,세대중기,2,4,12,Gold,0,0,0,56,0,63,0,7,0,0,57,1,0,0,0.333,1,천안/아산_천안/아산,1,4.5,0.09569996374048786,0.09618557315177127,0.09747954090494923,0.0998070657498033,0.09725282592110154,0.09763101879129513,0.09584986146141038,0.09895919372645871,0.09634353371195928,0.09339647934212993,신용카드_천안/아산_일반주택_미응답_없음_Gold,1964_안드로이드_대중교통_60년대_세대중기
1,5,1,1900-01-01 09:00:00,1900-01-01 13:00:00,0,신용카드,천안/아산,일반주택,40평대이상,없음,0.0,주방,0,1966,0,기타,대중교통,광주,0.0,0.0,1,0,0,6,2.0,6,시즌초,여름,28,말기,2021,6,시즌초,여름,23,말기,2021,6,시즌초,여름,28,말기,2021,6,시즌초,여름,28,말기,2021,60년대,세대말기,0,4,20,Gold,1,0,0,-5,1,0,0,5,0,0,55,1,1,1,0.2,0,천안/아산_광주,2,6.0,0.09569996374048786,0.09618557315177127,0.10556940924838637,0.0998070657498033,0.10755870232596731,0.09854363921233479,0.09352919023779387,0.09369985764178383,0.09496963130241444,0.09630763345093962,신용카드_천안/아산_일반주택_40평대이상_없음_Gold,1966_기타_대중교통_60년대_세대말기
1,8,5,1900-01-01 14:00:00,1900-01-01 18:00:00,1,신용카드,천안/아산,일반주택,30평대,없음,0.0,미응답,0,1978,0,안드로이드,대중교통,원주/춘천,0.0,0.0,1,0,2,6,3.0,6,시즌초,여름,23,말기,2020,1,휴식기,겨울,5,초기,2021,1,휴식기,겨울,8,초기,2021,1,휴식기,겨울,22,말기,2021,70년대,세대말기,7,4,32,Diamond,1,0,0,196,0,199,0,3,0,14,43,0,0,0,0.625,0,천안/아산_원주/춘천,1,4.0,0.09569996374048786,0.09618557315177127,0.09747954090494923,0.0998070657498033,0.08786445404261842,0.09314054518648374,0.09515821094313318,0.09721907237879249,0.09496963130241444,0.09630763345093962,신용카드_천안/아산_일반주택_30평대_없음_Diamond,1978_안드로이드_대중교통_70년대_세대말기
1,4,2,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,30평대,없음,0.0,화장실,0,1970,0,안드로이드,대중교통,천안/아산,0.0,0.0,0,0,1,6,4.0,8,시즌초,여름,5,초기,2019,12,휴식기,겨울,30,말기,2020,1,휴식기,겨울,21,말기,2021,1,휴식기,겨울,29,말기,2021,70년대,세대초기,18,4,16,Gold,1,0,0,513,0,535,0,22,0,8,51,0,0,0,0.5,1,천안/아산_천안/아산,1,4.0,0.09569996374048786,0.09618557315177127,0.09747954090494923,0.0998070657498033,0.09725282592110154,0.09314054518648374,0.09515821094313318,0.09213754108943584,0.09496963130241444,0.09630763345093962,신용카드_천안/아산_일반주택_30평대_없음_Gold,1970_안드로이드_대중교통_70년대_세대초기
0,1,1,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,40평대이상,없음,1.0,화장실,0,1970,0,안드로이드,대중교통,천안/아산,0.0,0.0,0,0,0,6,4.0,10,시즌말,가을,7,초기,2020,12,휴식기,겨울,30,말기,2020,1,휴식기,겨울,8,초기,2021,1,휴식기,겨울,8,초기,2021,70년대,세대초기,3,4,4,Silver,0,0,0,84,0,93,0,9,0,0,51,1,0,0,1.0,1,천안/아산_천안/아산,1,3.0,0.09569996374048786,0.09618557315177127,0.09747954090494923,0.0998070657498033,0.09725282592110154,0.09314054518648374,0.09515821094313318,0.09062124044830519,0.09634353371195928,0.09630763345093962,신용카드_천안/아산_일반주택_40평대이상_없음_Silver,1970_안드로이드_대중교통_70년대_세대초기
1,9,3,1900-01-01 09:00:00,1900-01-01 13:00:00,1,신용카드,천안/아산,일반주택,40평대이상,개,0.0,주방,0,1958,0,안드로이드,대중교통,천안/아산,0.0,0.0,1,0,1,6,4.0,10,시즌말,가을,19,중기,2020,2,휴식기,겨울,26,말기,2021,3,시즌초,봄,1,초기,2021,3,시즌초,봄,8,초기,2021,50년대,세대말기,5,4,36,Diamond,1,0,0,130,0,133,0,3,0,7,63,0,0,0,0.333,1,천안/아산_천안/아산,1,5.0,0.09569996374048786,0.09253928658095997,0.09747954090494923,0.0998070657498033,0.09725282592110154,0.1040443085316416,0.09970934474115466,0.09062124044830519,0.09634353371195928,0.09630763345093962,신용카드_천안/아산_일반주택_40평대이상_개_Diamond,1958_안드로이드_대중교통_50년대_세대말기
